results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,0.7,10,3,5G,macro,8x8,143.0,-103.0,-109.99978290702776,-0.53,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,0.8,10,3,4G,macro,1x1,144.0,-106.0,-109.25924267669222,-3.5260000000000002,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,2.6,10,3,4G,macro,1x1,154.9,-114.0,-119.29627884007299,-11.52,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,3.5,50,3,5G,macro,8x8,157.0,-116.0,-122.99978290702776,-20.51,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,3.7,50,3,5G,macro,8x8,157.9,-117.0,-122.99783393824349,-21.51,0.0,0.0,0.0
10_percentile,urban,19200,319.25160485109546,0.0031323256791971885,26,500,3,5G,macro,8x8,174.9,-134.0,-139.29627884007297,-48.50999999999999,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,0.7,10,3,5G,macro,8x8,144.0,-103.1,-110.25924267669222,-0.6199999999999979,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,0.8,10,3,4G,macro,1x1,145.0,-106.0,-109.99783393824349,-3.52,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,2.6,10,3,4G,macro,1x1,154.9,-114.0,-120.25570701687732,-11.52,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,3.5,50,3,5G,macro,8x8,157.0,-115.0,-123.29627884007299,-19.51,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,3.7,50,3,5G,macro,8x8,157.9,-117.0,-123.25570701687732,-21.51,0.0,0.0,0.0
10_percentile,urban,20000,346.41016151377545,0.002886751345948129,26,500,3,5G,macro,8x8,174.9,-134.0,-140.25570701687732,-48.50999999999999,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,0.7,10,3,5G,macro,8x8,144.0,-104.0,-110.99978290702776,-1.52,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,0.8,10,3,4G,macro,1x1,145.0,-107.0,-110.25924267669222,-4.52,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,2.6,10,3,4G,macro,1x1,155.0,-115.0,-120.99783393824347,-12.52,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,3.5,50,3,5G,macro,8x8,157.9,-116.0,-123.99978290702776,-20.51,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,3.7,50,3,5G,macro,8x8,158.0,-118.0,-123.99783393824349,-22.51,0.0,0.0,0.0
10_percentile,urban,20800,374.6772306932995,0.002668963892333699,26,500,3,5G,macro,8x8,175.0,-135.0,-140.9978339382435,-49.51,0.0,0.0,0.0
10_percentile,urban,21600,404.0528123896677,0.002474923993439754,0.7,10,3,5G,macro,8x8,144.0,-104.0,-111.25959783098372,-1.52,0.0,0.0,0.0
